region,title,url,publish_date,source
US,Massachusetts lawmakers respond to U.S. capturing Venezuelan leader Nicolás Maduro,https://www.cbsnews.com/boston/news/massachusetts-lawmakers-venezuelan-leader-nicolas-maduro/,2026-01-03,cbsnews.com
US,Trump Says U.S. Will 'Run the Country' After Capture of Maduro,https://www.postandcourier.com/nyt/trump-says-u-s-will-run-the-country-after-capture-of-maduro/article_77fe6512-1392-58f2-b44b-f7e250acd2d9.html,2026-01-03,postandcourier.com
US,Trump says US not afraid of ‘boots on the ground’ as it ‘runs’ Venezuela during transition,https://www.stripes.com/theaters/americas/2026-01-03/trump-boots-on-ground-venezuela-transition-20284751.html?fbclid=IwdGRleAPGlCFleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeOslG0N5QWTHLdxlOmLpnnY1D-z3EZOIaCWyc77I3wZ0f1CedAhKHkYQ0lGg_aem_WzSoblmgSmDXcuVDz2VruQ,2026-01-03,stripes.com
US,How the US captured Venezuelan leader Nicolás Maduro,https://www.stripes.com/theaters/americas/2026-01-03/details-us-operation-capture-maduro-trump-interview-20284188.html?utm_source=Stars+and+Stripes+Emails&utm_campaign=Daily+Headlines&utm_medium=email&utm_source=Stars+and+Stripes+Emails&utm_campaign=73d8b702d3-Newsletter+-+Daily+Headlines&utm_medium=email&utm_term=0_0ab8697a7f-73d8b702d3-296858347,2026-01-03,stripes.com
US,"Calls for restraint, condemnation: World leaders react to US action in Venezuela",https://www.stripes.com/theaters/americas/2026-01-03/world-leaders-react-trump-capture-maduro-20285259.html?utm_source=Stars+and+Stripes+Emails&utm_campaign=Daily+Headlines&utm_medium=email&utm_source=Stars+and+Stripes+Emails&utm_campaign=73d8b702d3-Newsletter+-+Daily+Headlines&utm_medium=email&utm_term=0_0ab8697a7f-73d8b702d3-296793742,2026-01-03,stripes.com
US,"US action in Venezuela draws praise, criticism from congressional leaders",https://www.stripes.com/theaters/americas/2026-01-03/congress-reaction-us-strike-venezuela-maduro-20285315.html?utm_source=Stars+and+Stripes+Emails&utm_campaign=Daily+Headlines&utm_medium=email&utm_source=Stars+and+Stripes+Emails&utm_campaign=73d8b702d3-Newsletter+-+Daily+Headlines&utm_medium=email&utm_term=0_0ab8697a7f-73d8b702d3-296535044,2026-01-03,stripes.com
US,"US plans to ‘run’ Venezuela and tap its oil reserves, Trump says, after operation to oust Maduro",https://www.twincities.com/2026/01/03/us-plans-to-run-venezuela-and-tap-its-oil-reserves-trump-says-after-operation-to-oust-maduro/,2026-01-03,twincities.com
US,"Mike Braun, Indiana lawmakers celebrate Venezuela attack Maduro capture",https://www.indystar.com/story/news/politics/2026/01/03/gov-mike-braun-indiana-lawmakers-celebrate-venezuela-attack-maduro-capture/88006425007/,2026-01-03,indystar.com
US,Trump was right to capture Maduro. He did it the wrong way,https://www.usatoday.com/story/opinion/columnist/2026/01/03/venezuela-maduro-captured-american-operation/88010257007/,2026-01-03,usatoday.com
US,"Here's how the US attacked Venezuela, captured Nicolás Maduro",https://www.usatoday.com/story/news/politics/2026/01/03/how-us-attacked-venezuela-captured-nicolas-maduro/88008790007/,2026-01-03,usatoday.com
